Level (IndexNum):,Amount of shots taken:,Amount of powerups used:,What powerups used:,Was shop used:,Was game paused:,Was something bought:,Amount of planets spawned:,What obstacles spawned:
16,0,0,,False,False,False,4,
1,1,0,,False,False,False,1,CometRoot/WormholeRoot/

